"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01023099999","2014-01-01","69.055758","18.540356","76.8","BARDUFOSS, NO","  27.8","24","  18.4","24","9999.9"," 0","999.9"," 0","  9.3","24","  6.9","24"," 14.0"," 21.0","  30.7","*","  23.0","*"," 0.00","G"," 20.1","001000"
"01023099999","2014-01-02","69.055758","18.540356","76.8","BARDUFOSS, NO","  24.6","24","  18.2","24","9999.9"," 0","999.9"," 0","  7.8","24","  2.4","24"," 14.0","999.9","  35.6","*","  15.8","*"," 0.00","G"," 19.7","000000"
"01023099999","2014-01-03","69.055758","18.540356","76.8","BARDUFOSS, NO","  27.8","24","  24.3","24","9999.9"," 0","999.9"," 0","  7.8","24","  1.4","24","  4.1","999.9","  34.2","*","  14.5"," "," 0.00","G"," 19.7","010000"
"01023099999","2014-01-04","69.055758","18.540356","76.8","BARDUFOSS, NO","  26.1","24","  21.2","24","9999.9"," 0","999.9"," 0","  7.8","24","  2.5","24","  9.7","999.9","  36.3"," ","  17.6","*"," 0.00","G"," 19.7","000000"
"01023099999","2014-01-05","69.055758","18.540356","76.8","BARDUFOSS, NO","  15.2","24","  13.3","24","9999.9"," 0","999.9"," 0"," 11.5","14","  1.3","24","  3.9","999.9","  19.8"," ","  10.4","*"," 0.00","G"," 19.7","000000"
"01023099999","2014-01-06","69.055758","18.540356","76.8","BARDUFOSS, NO","  16.8","24","  13.8","24","9999.9"," 0","999.9"," 0","  9.9","10","  2.5","24"," 15.9","999.9","  32.7","*","   9.1"," "," 0.00","G"," 19.7","000000"
"01023099999","2014-01-07","69.055758","18.540356","76.8","BARDUFOSS, NO","  31.1","24","  22.4","24","9999.9"," 0","999.9"," 0","  7.8","24","  7.3","24"," 14.0"," 26.0","  35.6","*","  18.0"," "," 0.00","G"," 19.7","000000"
"01023099999","2014-01-08","69.055758","18.540356","76.8","BARDUFOSS, NO","  30.2","24","  22.5","24","9999.9"," 0","999.9"," 0","  7.4","24","  5.9","24"," 15.0"," 22.0","  32.9"," ","  22.8"," "," 0.00","G"," 19.7","001000"
"01023099999","2014-01-09","69.055758","18.540356","76.8","BARDUFOSS, NO","  19.5","24","   6.1","24","9999.9"," 0","999.9"," 0","  6.9","19"," 12.7","24"," 19.4"," 32.1","  28.0","*","   5.0","*"," 0.00","G"," 19.3","000000"
"01023099999","2014-01-10","69.055758","18.540356","76.8","BARDUFOSS, NO","  -4.2","24","  -8.6","24","9999.9"," 0","999.9"," 0","  9.6","22","  1.5","24","  3.9","999.9","   6.8","*"," -14.1","*"," 0.00","G"," 19.3","000000"
"01023099999","2014-01-11","69.055758","18.540356","76.8","BARDUFOSS, NO"," -14.7","24"," -19.7","24","9999.9"," 0","999.9"," 0","  8.2","19","  1.1","24","  2.9","999.9","  -9.0"," "," -18.4","*"," 0.00","G"," 19.3","000000"
"01023099999","2014-01-12","69.055758","18.540356","76.8","BARDUFOSS, NO"," -13.1","24"," -17.9","24","9999.9"," 0","999.9"," 0","  7.8","24","  1.0","24","  2.9","999.9","  -5.6","*"," -18.9"," "," 0.00","G"," 19.3","000000"
"01023099999","2014-01-13","69.055758","18.540356","76.8","BARDUFOSS, NO","   1.8","24","  -1.5","24","9999.9"," 0","999.9"," 0","  5.8","17","  0.5","24","  1.9","999.9","   8.6","*","  -9.6"," ","99.99"," ","999.9","001000"
"01023099999","2014-01-14","69.055758","18.540356","76.8","BARDUFOSS, NO","  -9.6","24"," -14.0","24","9999.9"," 0","999.9"," 0","999.9"," 0","  1.3","24","  1.9","999.9","  -3.8","*"," -15.5","*"," 0.00","G"," 19.7","000000"
"01023099999","2014-01-15","69.055758","18.540356","76.8","BARDUFOSS, NO","  -4.0","24","  -8.0","24","9999.9"," 0","999.9"," 0"," 10.9","16","  1.1","23","  2.9","999.9","  13.3"," "," -17.5"," "," 0.00","G"," 19.7","000000"
"01023099999","2014-01-16","69.055758","18.540356","76.8","BARDUFOSS, NO","  -5.3","24","  -9.5","24","9999.9"," 0","999.9"," 0","999.9"," 0","  1.0","24","  2.9","999.9","  -0.4","*","  -9.4","*"," 0.00","G"," 19.7","000000"
"01023099999","2014-01-17","69.055758","18.540356","76.8","BARDUFOSS, NO","  -5.7","24","  -9.9","24","9999.9"," 0","999.9"," 0","999.9"," 0","  1.3","24","  1.9","999.9","  -0.4"," "," -10.5"," "," 0.00","G"," 19.7","000000"
"01023099999","2014-01-18","69.055758","18.540356","76.8","BARDUFOSS, NO","  -9.6","24"," -13.8","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.5","24","  1.9","999.9","  -4.9"," "," -13.0","*"," 0.00","G"," 19.7","000000"
"01023099999","2014-01-19","69.055758","18.540356","76.8","BARDUFOSS, NO"," -12.7","24"," -17.6","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.4","24","  1.9","999.9","  -6.5"," "," -14.8","*"," 0.00","G"," 19.7","000000"
"01023099999","2014-01-20","69.055758","18.540356","76.8","BARDUFOSS, NO","  -8.8","24"," -13.3","24","9999.9"," 0","999.9"," 0","  8.9","14","  0.6","24","  1.9","999.9","  -1.7"," "," -17.0"," "," 0.00","G"," 19.7","001000"
"01023099999","2014-01-21","69.055758","18.540356","76.8","BARDUFOSS, NO","  -1.7","24","  -5.3","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.6","24","  1.9","999.9","   5.0"," "," -13.4"," "," 0.00","G"," 19.7","000000"
"01023099999","2014-01-22","69.055758","18.540356","76.8","BARDUFOSS, NO","  -3.4","24","  -7.4","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.2","24","  1.9","999.9","   3.2","*","  -9.4","*"," 0.00","G"," 19.7","000000"
"01023099999","2014-01-23","69.055758","18.540356","76.8","BARDUFOSS, NO","  -6.2","24"," -10.6","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.4","24","  1.9","999.9","   1.4"," "," -13.2"," "," 0.00","G"," 19.7","000000"
"01023099999","2014-01-24","69.055758","18.540356","76.8","BARDUFOSS, NO","  -7.3","24"," -12.3","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.4","24","  1.9","999.9","  -3.3"," "," -11.2"," "," 0.00","G"," 19.7","000000"
"01023099999","2014-01-25","69.055758","18.540356","76.8","BARDUFOSS, NO","  -2.1","24","  -8.3","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.8","24","  1.9","999.9","   4.6"," "," -11.2"," "," 0.00","G"," 19.7","000000"
"01023099999","2014-01-26","69.055758","18.540356","76.8","BARDUFOSS, NO","  -1.5","24","  -7.0","24","9999.9"," 0","999.9"," 0"," 12.4","12","  0.7","24","  1.9","999.9","   1.6"," ","  -4.0","*"," 0.00","G"," 19.7","000000"
"01023099999","2014-01-27","69.055758","18.540356","76.8","BARDUFOSS, NO","  -0.6","24","  -6.7","24","9999.9"," 0","999.9"," 0","999.9"," 0","  1.2","24","  3.9","999.9","   7.7","*","  -9.4","*"," 0.00","G"," 19.7","000000"
"01023099999","2014-01-28","69.055758","18.540356","76.8","BARDUFOSS, NO","   2.2","24","  -4.5","24","9999.9"," 0","999.9"," 0"," 12.4"," 6","  1.2","24","  3.9","999.9","  12.9","*"," -10.3"," "," 0.00","G"," 19.7","000000"
"01023099999","2014-01-29","69.055758","18.540356","76.8","BARDUFOSS, NO","   6.4","24","   0.1","24","9999.9"," 0","999.9"," 0","  9.3","12","  1.5","24","  4.1","999.9","  14.2","*","  -0.9","*"," 0.00","G"," 19.7","000000"
"01023099999","2014-01-30","69.055758","18.540356","76.8","BARDUFOSS, NO","  -1.8","24","  -6.6","24","9999.9"," 0","999.9"," 0","999.9"," 0","  1.4","24","  2.9","999.9","   5.0","*","  -9.8","*"," 0.00","G"," 19.7","000000"
"01023099999","2014-01-31","69.055758","18.540356","76.8","BARDUFOSS, NO","  -1.0","24","  -5.0","24","9999.9"," 0","999.9"," 0","999.9"," 0","  1.4","24","  4.1","999.9","   8.6","*","  -9.9"," "," 0.00","G"," 19.3","000000"
"01023099999","2014-02-01","69.055758","18.540356","76.8","BARDUFOSS, NO","   3.0","24","  -2.0","24","9999.9"," 0","999.9"," 0","  9.6","11","  2.2","24","  9.7","999.9","  14.0","*","  -2.4","*"," 0.00","G"," 19.3","000000"
"01023099999","2014-02-02","69.055758","18.540356","76.8","BARDUFOSS, NO","  14.0","24","   6.7","24","9999.9"," 0","999.9"," 0","  8.3","18","  4.6","24"," 17.1"," 25.1","  28.8"," ","  -2.9"," "," 0.00","I","999.9","000000"
"01023099999","2014-02-03","69.055758","18.540356","76.8","BARDUFOSS, NO","  19.0","24","  15.3","24","9999.9"," 0","999.9"," 0","  7.8","20","  2.4","24","  9.9","999.9","  39.2","*","   7.7"," "," 0.00","F"," 19.3","011000"
"01023099999","2014-02-04","69.055758","18.540356","76.8","BARDUFOSS, NO","  33.9","24","  30.4","24","9999.9"," 0","999.9"," 0","  7.2","23","  4.0","24","  9.7","999.9","  42.8","*","  21.2","*"," 0.04","G"," 18.9","110000"
"01023099999","2014-02-05","69.055758","18.540356","76.8","BARDUFOSS, NO","  20.5","24","  17.7","24","9999.9"," 0","999.9"," 0","999.9"," 0","  1.5","24","  4.1","999.9","  28.4","*","  10.4","*"," 0.00","G"," 18.1","000000"
"01023099999","2014-02-06","69.055758","18.540356","76.8","BARDUFOSS, NO","  15.4","24","  13.1","24","9999.9"," 0","999.9"," 0","  8.1","19","  1.1","24","  2.9","999.9","  22.6","*","   8.1"," "," 0.00","G"," 18.1","001000"
"01023099999","2014-02-07","69.055758","18.540356","76.8","BARDUFOSS, NO","  21.3","24","  18.5","24","9999.9"," 0","999.9"," 0","  6.3","20","  2.2","24","  7.0","999.9","  26.8","*","   6.8","*"," 0.09","G"," 20.1","001000"
"01023099999","2014-02-08","69.055758","18.540356","76.8","BARDUFOSS, NO","  23.5","24","  17.6","24","9999.9"," 0","999.9"," 0","  7.9","20","  5.7","24"," 15.5"," 21.0","  33.1"," ","   7.2"," "," 0.00","G"," 20.1","001000"
"01023099999","2014-02-09","69.055758","18.540356","76.8","BARDUFOSS, NO","  29.1","24","  22.8","24","9999.9"," 0","999.9"," 0","  6.7","24","  4.2","24"," 13.6"," 17.1","  39.2"," ","  17.1","*"," 0.02","G"," 19.7","001000"
"01023099999","2014-02-10","69.055758","18.540356","76.8","BARDUFOSS, NO","  38.3","24","  25.5","24","9999.9"," 0","999.9"," 0","  7.8","24","  7.7","24"," 20.0"," 29.9","  41.0","*","  33.8"," "," 0.00","G"," 19.7","000000"
"01023099999","2014-02-11","69.055758","18.540356","76.8","BARDUFOSS, NO","  29.7","24","  23.1","24","9999.9"," 0","999.9"," 0","  8.2","19","  3.7","24","  9.9","999.9","  38.3"," ","  17.6","*"," 0.00","G"," 18.1","000000"
"01023099999","2014-02-12","69.055758","18.540356","76.8","BARDUFOSS, NO","  17.4","24","  14.7","24","9999.9"," 0","999.9"," 0"," 14.5"," 9","  1.0","24","  1.9","999.9","  26.6","*","   6.8","*"," 0.00","G"," 18.1","000000"
