"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01044099999","2012-01-01","70.486675","22.139744","6.4","HASVIK, NO","  32.1","24","  23.0","24","1002.0","21","001.2","21","999.9"," 0"," 28.8","24"," 36.9"," 47.0","  34.3"," ","  29.5","*"," 0.00","I","999.9","000000"
"01044099999","2012-01-02","70.486675","22.139744","6.4","HASVIK, NO","  31.3","24","  21.9","24","1001.3","19","000.4","19","  7.0"," 5"," 29.2","24"," 35.0"," 49.9","  33.8","*","  29.1"," "," 0.00","I","  1.2","000000"
"01044099999","2012-01-03","70.486675","22.139744","6.4","HASVIK, NO","  31.0","24","  22.3","24"," 998.6","16","997.8","16","  7.0"," 8"," 24.9","23"," 31.1"," 37.9","  32.7","*","  29.8","*"," 0.00","G","  1.2","000000"
"01044099999","2012-01-04","70.486675","22.139744","6.4","HASVIK, NO","  31.5","24","  23.2","24"," 991.3","15","990.5","15","  7.0"," 9"," 23.4","24"," 27.2"," 35.9","  35.6","*","  27.3","*"," 0.00","G","  1.2","000000"
"01044099999","2012-01-05","70.486675","22.139744","6.4","HASVIK, NO","  23.3","24","  13.5","24"," 990.3","15","989.5","15","  7.0"," 9"," 10.5","24"," 21.4","999.9","  26.4","*","  17.6","*"," 0.00","G","999.9","000000"
"01044099999","2012-01-06","70.486675","22.139744","6.4","HASVIK, NO","  22.0","24","  17.9","24"," 998.6","18","997.7","18","  6.7"," 6","  1.7","24","  5.8","999.9","  27.5"," ","  15.8","*"," 0.00","G","999.9","000000"
"01044099999","2012-01-07","70.486675","22.139744","6.4","HASVIK, NO","  22.8","24","  20.1","24"," 999.9","24","999.0","24","999.9"," 0","  0.8","24","  1.9","999.9","  26.6"," ","  19.0","*"," 0.00","I","999.9","000000"
"01044099999","2012-01-08","70.486675","22.139744","6.4","HASVIK, NO","  30.4","24","  27.4","24","1006.6","21","005.7","21","999.9"," 0","  5.4","24"," 11.7","999.9","  35.6","*","  18.7"," ","99.99"," ","999.9","001000"
"01044099999","2012-01-09","70.486675","22.139744","6.4","HASVIK, NO","  31.6","24","  25.9","24","1013.6","18","012.7","18","  6.0"," 6","  7.9","24"," 15.5","999.9","  35.6","*","  23.5","*","99.99"," ","  5.9","001000"
"01044099999","2012-01-10","70.486675","22.139744","6.4","HASVIK, NO","  28.5","24","  19.0","24","1002.8","18","001.9","18","  6.6"," 6"," 20.9","24"," 26.0","999.9","  32.4","*","  26.6","*"," 0.00","G","  5.9","000000"
"01044099999","2012-01-11","70.486675","22.139744","6.4","HASVIK, NO","  28.7","24","  21.9","24"," 989.4","15","988.6","15","  6.7"," 9"," 16.4","24"," 23.3","999.9","  32.0","*","  24.8","*"," 0.00","G","  3.9","000000"
"01044099999","2012-01-12","70.486675","22.139744","6.4","HASVIK, NO","  27.6","24","  20.5","24"," 986.7","18","985.8","18","  7.0"," 6"," 14.2","24"," 22.0","999.9","  29.7"," ","  24.8","*"," 0.00","I","999.9","000000"
"01044099999","2012-01-13","70.486675","22.139744","6.4","HASVIK, NO","  26.2","24","  21.2","24","1005.0","18","004.1","18","  7.0"," 6","  1.9","24","  7.8","999.9","  31.5","*","  21.9","*"," 0.00","I","  3.9","000000"
"01044099999","2012-01-14","70.486675","22.139744","6.4","HASVIK, NO","  32.8","24","  25.5","24","1016.2","24","015.3","24","999.9"," 0","  9.1","24"," 15.5","999.9","  34.7"," ","  26.8"," "," 0.00","I","999.9","000000"
"01044099999","2012-01-15","70.486675","22.139744","6.4","HASVIK, NO","  36.3","24","  27.0","24","1007.1","21","006.3","21","999.9"," 0"," 14.4","24"," 19.4","999.9","  40.1"," ","  32.7"," ","99.99"," ","999.9","010000"
"01044099999","2012-01-16","70.486675","22.139744","6.4","HASVIK, NO","  35.1","24","  29.5","24","1012.0","20","011.1","20","  7.0"," 4"," 12.3","24"," 23.3","999.9","  38.5","*","  32.5","*","99.99"," ","  2.0","010000"
"01044099999","2012-01-17","70.486675","22.139744","6.4","HASVIK, NO","  38.0","24","  31.3","24","1015.4","18","014.6","18","  7.0"," 6","  8.9","24"," 13.6","999.9","  39.6"," ","  33.8"," "," 0.11","G","  2.0","010000"
"01044099999","2012-01-18","70.486675","22.139744","6.4","HASVIK, NO","  35.3","24","  28.3","24","1004.1","14","003.3","14","  6.5","10"," 18.4","24"," 25.3","999.9","  37.9","*","  32.0","*"," 0.03","G","  1.2","000000"
"01044099999","2012-01-19","70.486675","22.139744","6.4","HASVIK, NO","  31.4","24","  21.5","24"," 995.6","15","994.7","15","  6.2"," 9"," 16.1","24"," 28.9","999.9","  34.2"," ","  27.0","*"," 0.00","G","  1.2","000000"
"01044099999","2012-01-20","70.486675","22.139744","6.4","HASVIK, NO","  24.7","24","  18.9","24","1001.7","14","000.8","14","  7.0","10","  7.5","24","  9.9","999.9","  26.8","*","  19.4","*"," 0.00","G","  1.2","000000"
"01044099999","2012-01-21","70.486675","22.139744","6.4","HASVIK, NO","  25.4","24","  18.6","24","1006.5","24","005.6","24","999.9"," 0","  9.6","24"," 19.4","999.9","  27.3"," ","  23.5"," "," 0.00","I","999.9","000000"
"01044099999","2012-01-22","70.486675","22.139744","6.4","HASVIK, NO","  26.4","24","  18.8","24","1013.1","22","012.2","22","999.9"," 0"," 14.2","24"," 20.0","999.9","  30.2"," ","  22.1","*"," 0.00","I","999.9","000000"
"01044099999","2012-01-23","70.486675","22.139744","6.4","HASVIK, NO","  23.2","24","  17.0","24","1011.8","14","010.9","14","  7.0","10"," 10.9","24"," 19.4","999.9","  25.0","*","  21.2"," ","99.99"," ","  1.2","001000"
"01044099999","2012-01-24","70.486675","22.139744","6.4","HASVIK, NO","  27.6","24","  19.0","24","1013.0","14","012.2","14","  6.8","10","  8.9","24"," 14.0","999.9","  33.4","*","  21.2","*"," 0.00","G","  1.2","000000"
"01044099999","2012-01-25","70.486675","22.139744","6.4","HASVIK, NO","  29.1","24","  21.8","24","1021.9","14","021.0","14","  6.2","10"," 14.9","24"," 21.4","999.9","  32.2","*","  26.6","*"," 0.00","G","  1.2","000000"
"01044099999","2012-01-26","70.486675","22.139744","6.4","HASVIK, NO","  31.8","24","  18.0","24","1025.8","15","024.9","15","  6.2"," 9"," 20.8","24"," 25.3","999.9","  36.5"," ","  27.7"," "," 0.00","G","  1.2","000000"
"01044099999","2012-01-27","70.486675","22.139744","6.4","HASVIK, NO","  29.8","24","  16.9","24","1032.6","14","031.7","14","  6.8","10"," 14.8","24"," 23.3"," 23.9","  31.3"," ","  28.9","*"," 0.00","G","  1.2","000000"
"01044099999","2012-01-28","70.486675","22.139744","6.4","HASVIK, NO","  25.5","24","  18.7","24","1039.7","24","038.8","24","999.9"," 0"," 12.6","24"," 17.5","999.9","  27.5"," ","  24.1"," "," 0.00","I","999.9","000000"
"01044099999","2012-01-29","70.486675","22.139744","6.4","HASVIK, NO","  24.6","24","  20.7","24","1045.8","21","044.9","21","999.9"," 0","  7.8","24"," 11.7","999.9","  27.3"," ","  22.1","*"," 0.00","I","999.9","000000"
"01044099999","2012-01-30","70.486675","22.139744","6.4","HASVIK, NO","  22.4","24","  17.7","24","1044.1","20","043.2","20","  6.6"," 4","  6.1","24"," 11.7","999.9","  26.6","*","  18.5"," "," 0.00","I","  1.2","000000"
"01044099999","2012-01-31","70.486675","22.139744","6.4","HASVIK, NO","  25.4","24","  19.6","24","1041.2","20","040.3","20","  7.0"," 4"," 13.8","24"," 19.4","999.9","  28.8","*","  19.4"," "," 0.00","I","  1.2","000000"
"01044099999","2012-02-01","70.486675","22.139744","6.4","HASVIK, NO","  29.9","24","  23.6","24","1041.1","14","040.2","14","  6.7","10"," 16.4","24"," 18.1","999.9","  31.1"," ","  26.4"," "," 0.00","G","  1.2","000000"
"01044099999","2012-02-02","70.486675","22.139744","6.4","HASVIK, NO","  26.0","24","  15.6","24","1036.7","15","035.8","15","  6.2"," 9"," 18.5","24"," 21.4","999.9","  28.8"," ","  22.6","*"," 0.00","I","999.9","000000"
"01044099999","2012-02-03","70.486675","22.139744","6.4","HASVIK, NO","  23.5","24","  17.2","24","1034.5","14","033.6","14","  6.6","10"," 14.6","23"," 19.4","999.9","  28.8"," ","  20.3"," "," 0.00","G","  1.2","000000"
"01044099999","2012-02-04","70.486675","22.139744","6.4","HASVIK, NO","  23.8","24","  16.1","24","1031.9","24","031.0","24","999.9"," 0"," 18.7","24"," 21.4","999.9","  28.6","*","  18.3","*"," 0.00","I","999.9","000000"
"01044099999","2012-02-05","70.486675","22.139744","6.4","HASVIK, NO","  12.0","24","   5.4","24","1024.3","21","023.4","21","999.9"," 0"," 23.8","24"," 28.0"," 33.0","  18.5","*","   6.1","*"," 0.00","I","999.9","000000"
